,State,Mean Cases,Median Cases,Mode Cases,Mean Deaths,Median Deaths,Mode Deaths
0,NC,inf,inf,inf,inf,23809.09617817481,6755.082917198142
1,MN,inf,inf,inf,inf,11560.303117264702,inf
2,HI,inf,inf,inf,inf,inf,inf
3,FL,inf,inf,inf,26462.286698282536,26781.68217595114,4335.826598240697
4,KY,inf,2530323.8005240313,inf,21997.921625251038,19016.889669978427,6998.581648292436
5,VT,inf,inf,inf,550.508363495454,462.44324619718145,462.44324619718145
