countyFIPS,State,County Name_x,population,2020-06-07 00:00:00,2020-06-14 00:00:00,2020-06-21 00:00:00,2020-06-28 00:00:00,2020-07-05 00:00:00,2020-07-12 00:00:00,2020-07-19 00:00:00,2020-07-26 00:00:00,2020-08-02 00:00:00,2020-08-09 00:00:00,2020-08-16 00:00:00,2020-08-23 00:00:00,2020-08-30 00:00:00,2020-09-06 00:00:00,2020-09-13 00:00:00,2020-09-20 00:00:00,2020-09-27 00:00:00,2020-10-04 00:00:00,2020-10-11 00:00:00,2020-10-18 00:00:00,2020-10-25 00:00:00,2020-11-01 00:00:00,2020-11-08 00:00:00,2020-11-15 00:00:00,2020-11-22 00:00:00,2020-11-29 00:00:00,2020-12-06 00:00:00,2020-12-13 00:00:00,2020-12-20 00:00:00,2020-12-27 00:00:00,2021-01-03 00:00:00
6053,CA,Monterey County ,434061,5851,7711,10153,12941,16608,21150,26485,31788,37525,43010,47895,51982,56011,59875,62880,65881,68723,71446,73871,76381,78838,81709,85946,92026,100326,109833,123815,143783,164135,184263,204422
6055,CA,Napa County ,137744,1092,1409,1892,2603,3533,4492,5688,6964,7932,8665,9256,9820,10262,10703,11108,11558,12074,12444,12867,13411,14014,14961,16367,18221,20668,23260,26773,31075,35136,39324,43672
6057,CA,Nevada County ,99755,365,452,656,861,1164,1436,1859,2162,2343,2537,2773,3013,3177,3313,3453,3657,3787,3892,4039,4209,4404,4692,5326,6346,7919,9957,12594,14975,16758,18349,20012
6059,CA,Orange County ,3175692,68807,79981,98980,132592,173471,212299,250545,278691,299317,316759,329278,339308,348551,356462,363748,371609,380916,390481,399468,409075,419851,430906,446669,469800,510363,565758,643599,763492,913930,1058877,1203917
6061,CA,Placer County ,398329,2201,2998,3976,5262,6995,9109,11481,13616,15641,17546,18984,20211,21413,22686,23642,24629,25336,26086,27062,28136,29808,31964,34787,38660,44397,52219,62268,73479,85229,95523,105964
6063,CA,Plumas County ,18807,30,35,41,65,95,128,174,220,234,257,267,273,278,305,325,341,343,355,362,391,486,620,781,1004,1265,1551,1915,2418,2827,3136,3398
6065,CA,Riverside County ,2470546,74701,89190,110391,141912,177243,212587,249397,281874,308709,330012,346379,360183,371617,380818,389601,399747,410805,423914,437044,450620,465313,482040,505559,536405,586829,651254,747305,882032,1051352,1214859,1375012
6067,CA,Sacramento County ,1552058,11373,13127,16702,23537,33722,46347,60675,75357,87220,97964,108680,118601,127358,135209,142504,150263,156926,162033,166596,171420,177402,184984,197486,216441,240211,266819,305044,352799,398721,439055,479066
6069,CA,San Benito County ,62808,751,1005,1353,1701,2139,2772,3485,4208,4844,5430,6025,6912,7676,8336,8693,9044,9345,9481,9591,9749,9951,10194,10648,11279,12123,13246,15205,17556,20718,23837,27059
6071,CA,San Bernardino County ,2180085,49919,61916,80917,110433,144468,179535,216527,249720,274612,297048,315156,329817,340920,350188,357634,366638,378011,391582,405987,421600,439342,459236,489444,533917,605177,688400,804462,966475,1150108,1322233,1479655
