countyFIPS,State,County Name_x,population,2020-06-07 00:00:00,2020-06-14 00:00:00,2020-06-21 00:00:00,2020-06-28 00:00:00,2020-07-05 00:00:00,2020-07-12 00:00:00,2020-07-19 00:00:00,2020-07-26 00:00:00,2020-08-02 00:00:00,2020-08-09 00:00:00,2020-08-16 00:00:00,2020-08-23 00:00:00,2020-08-30 00:00:00,2020-09-06 00:00:00,2020-09-13 00:00:00,2020-09-20 00:00:00,2020-09-27 00:00:00,2020-10-04 00:00:00,2020-10-11 00:00:00,2020-10-18 00:00:00,2020-10-25 00:00:00,2020-11-01 00:00:00,2020-11-08 00:00:00,2020-11-15 00:00:00,2020-11-22 00:00:00,2020-11-29 00:00:00,2020-12-06 00:00:00,2020-12-13 00:00:00,2020-12-20 00:00:00,2020-12-27 00:00:00,2021-01-03 00:00:00
6063,CA,Plumas County ,18807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,20,28
6065,CA,Riverside County ,2470546,2479,2708,2983,3246,3596,4052,4570,5151,5784,6423,6940,7364,7705,8028,8269,8530,8703,8852,9004,9161,9272,9411,9622,9853,10207,10632,11281,12223,13265,14845,16959
6067,CA,Sacramento County ,1552058,438,463,479,524,567,641,753,932,1120,1375,1646,1957,2261,2549,2732,2939,3122,3282,3406,3511,3621,3721,3797,3975,4178,4503,4911,5461,5971,6620,7308
6069,CA,San Benito County ,62808,16,21,21,21,21,21,21,21,26,28,30,40,45,51,62,63,65,76,78,86,91,91,91,91,91,92,110,122,137,164,200
6071,CA,San Bernardino County ,2180085,1614,1741,1883,2047,2388,2806,3337,4081,4815,5429,5982,6467,6825,7120,7361,7588,7791,7979,8187,8380,8526,8748,9005,9327,9749,10264,11009,12328,14068,16480,19358
6073,CA,San Diego County ,3338330,2151,2317,2464,2627,2850,3125,3522,3836,4121,4343,4542,4757,4922,5106,5274,5466,5648,5805,5959,6123,6274,6416,6563,6735,7035,7330,7702,8425,9419,10701,12403
6075,CA,City and County of San Francisco,881549,338,346,360,364,364,377,406,439,483,525,569,608,631,670,741,791,848,917,1019,1082,1106,1120,1127,1143,1171,1188,1224,1265,1369,1526,1776
6077,CA,San Joaquin County ,762148,277,323,360,417,465,605,870,1241,1644,2082,2426,2658,2879,3077,3229,3341,3433,3513,3588,3649,3683,3710,3757,3804,3861,3943,4090,4333,4739,5298,5813
6079,CA,San Luis Obispo County ,283111,7,7,7,7,12,23,42,60,96,115,141,154,158,177,182,198,217,218,224,224,226,238,239,249,254,278,319,377,489,598,745
6081,CA,San Mateo County ,766573,674,713,751,791,827,840,865,880,887,905,924,945,973,1008,1023,1051,1069,1092,1119,1138,1160,1177,1199,1212,1222,1266,1312,1374,1511,1638,1766
6083,CA,Santa Barbara County ,446499,103,122,165,220,250,297,338,404,474,528,599,661,714,750,790,804,814,827,836,862,888,907,919,931,942,959,972,1004,1047,1089,1243
6085,CA,Santa Clara County ,1927852,1007,1026,1039,1067,1097,1173,1234,1302,1374,1463,1511,1618,1747,1846,1932,2044,2127,2238,2330,2402,2473,2558,2670,2755,2875,3008,3222,3588,4157,5017,6030
6087,CA,Santa Cruz County ,273213,14,14,20,21,21,21,22,28,28,38,46,49,49,49,51,63,77,91,136,165,186,189,189,195,210,258,340,427,548,629,723
6089,CA,Shasta County ,180080,32,35,35,35,46,56,63,75,77,84,91,91,96,98,99,112,139,189,216,236,242,259,283,296,331,389,454,512,547,634,740
6091,CA,Sierra County ,3005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6093,CA,Siskiyou County ,43539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,27,35,42,56,65
6095,CA,Solano County ,447643,154,161,161,162,175,197,218,257,279,303,328,364,398,421,446,510,555,582,594,595,609,623,644,653,669,711,764,798,839,892,960
6097,CA,Sonoma County ,494336,21,21,21,28,49,78,104,136,202,268,348,433,497,597,695,742,782,786,807,828,873,901,950,980,1015,1043,1069,1096,1152,1244,1380
6099,CA,Stanislaus County ,550660,240,277,302,346,437,509,643,847,1099,1310,1555,1785,2048,2223,2351,2498,2623,2700,2737,2780,2810,2851,2896,2954,3075,3201,3362,3594,3898,4259,4594
6101,CA,Sutter County ,96971,14,14,21,21,21,26,28,28,41,45,49,50,65,70,70,70,75,79,84,84,84,84,84,84,93,116,169,246,343,440,489
6103,CA,Tehama County ,65084,7,7,7,7,7,7,7,7,7,7,7,13,14,14,21,26,32,43,53,56,67,96,124,141,163,175,201,224,231,243,262
6105,CA,Trinity County ,12285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,14,16,21,21
6107,CA,Tulare County ,466195,641,676,757,849,944,1056,1163,1201,1305,1427,1528,1634,1704,1777,1825,1852,1924,1954,1991,2026,2070,2090,2110,2158,2239,2337,2429,2586,2862,3178,3515
6109,CA,Tuolumne County ,54478,0,0,0,0,0,0,0,0,13,14,14,14,14,15,26,28,28,28,28,28,28,35,60,63,69,78,100,123,152,185,203
6111,CA,Ventura County ,846006,231,262,285,330,371,400,478,543,605,682,718,795,879,956,1030,1072,1123,1159,1170,1189,1216,1231,1243,1264,1319,1393,1462,1544,1730,2094,2545
6113,CA,Yolo County ,220500,168,168,168,170,180,191,219,261,291,303,328,347,377,385,385,391,392,396,406,408,425,445,485,524,556,602,672,760,863,923,962
6115,CA,Yuba County ,78668,7,7,7,7,8,18,21,21,26,28,28,30,35,35,42,49,49,57,63,63,63,63,63,63,63,63,63,68,94,120,133
0,ID,Statewide Unallocated,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16001,ID,Ada County ,481587,154,154,154,159,161,168,202,285,389,511,626,724,831,895,956,1000,1026,1038,1070,1093,1120,1214,1307,1415,1536,1645,1782,1934,2122,2263,2442
16003,ID,Adams County ,4294,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,7,11,14,14,14,14,14,14,14,14,14,14,18,21,21,21
16005,ID,Bannock County ,87808,7,7,7,7,7,7,7,7,14,14,14,14,14,21,28,28,28,34,52,59,70,95,113,137,183,198,238,289,344,378,439
