countyFIPS,State,County Name_x,population,2020-06-07_cases,2020-06-14_cases,2020-06-21_cases,2020-06-28_cases,2020-07-05_cases,2020-07-12_cases,2020-07-19_cases,2020-07-26_cases,2020-08-02_cases,2020-08-09_cases,2020-08-16_cases,2020-08-23_cases,2020-08-30_cases,2020-09-06_cases,2020-09-13_cases,2020-09-20_cases,2020-09-27_cases,2020-10-04_cases,2020-10-11_cases,2020-10-18_cases,2020-10-25_cases,2020-11-01_cases,2020-11-08_cases,2020-11-15_cases,2020-11-22_cases,2020-11-29_cases,2020-12-06_cases,2020-12-13_cases,2020-12-20_cases,2020-12-27_cases,2021-01-03_cases
6037,CA,Los Angeles County ,10039107,175436.93333333332,67940.0,87296.0,116456.0,131443.0,135067.0,145494.0,136488.0,110198.0,90395.0,79686.0,64147.0,57222.0,49011.0,40057.0,44104.0,47402.0,49400.0,53184.0,57050.0,62326.0,64647.0,91096.0,125655.0,190463.0,237932.0,363947.0,524554.0,670094.0,687464.0,682890.0
6039,CA,Madera County ,157327,2563.366666666667,785.0,924.0,1422.0,2099.0,2843.0,2929.0,3086.0,2939.0,2596.0,2063.0,1949.0,1339.0,1070.0,1344.0,1192.0,972.0,927.0,759.0,804.0,768.0,950.0,1286.0,1746.0,2906.0,3772.0,5045.0,6580.0,7273.0,6935.0,7598.0
6041,CA,Marin County ,258826,2208.633333333333,1072.0,3563.0,6265.0,6833.0,5461.0,4438.0,2944.0,2415.0,1905.0,1522.0,1015.0,1378.0,1199.0,853.0,863.0,890.0,757.0,791.0,678.0,573.0,538.0,773.0,930.0,1142.0,1535.0,2197.0,2763.0,3864.0,3410.0,3692.0
6043,CA,Mariposa County ,17203,57.43333333333333,8.0,14.0,57.0,49.0,23.0,43.0,70.0,39.0,31.0,35.0,16.0,10.0,8.0,6.0,6.0,10.0,9.0,0.0,3.0,15.0,11.0,44.0,32.0,111.0,175.0,188.0,146.0,110.0,145.0,309.0
6045,CA,Mendocino County ,86749,572.9666666666667,51.0,147.0,121.0,117.0,255.0,395.0,351.0,435.0,622.0,604.0,491.0,444.0,403.0,286.0,429.0,476.0,381.0,305.0,309.0,233.0,268.0,427.0,547.0,827.0,1126.0,1227.0,1527.0,1475.0,1284.0,1626.0
6047,CA,Merced County ,277680,4502.033333333334,993.0,1939.0,3255.0,4341.0,5755.0,6241.0,7249.0,6617.0,5667.0,4127.0,3512.0,2960.0,2332.0,1666.0,1231.0,1003.0,1086.0,1054.0,973.0,1105.0,1638.0,2262.0,2999.0,4812.0,6106.0,8467.0,11494.0,12287.0,10861.0,11029.0
6049,CA,Modoc County ,8841,61.233333333333334,1.0,0.0,0.0,0.0,0.0,3.0,11.0,13.0,15.0,0.0,0.0,19.0,74.0,27.0,17.0,15.0,2.0,0.0,4.0,29.0,93.0,103.0,122.0,96.0,175.0,185.0,228.0,219.0,191.0,195.0
6051,CA,Mono County ,14444,202.1,3.0,18.0,9.0,53.0,73.0,205.0,245.0,133.0,93.0,24.0,9.0,3.0,2.0,11.0,3.0,22.0,8.0,19.0,7.0,91.0,355.0,1442.0,183.0,79.0,315.0,534.0,631.0,635.0,500.0,358.0
6053,CA,Monterey County ,434061,6619.033333333334,1860.0,2442.0,2788.0,3667.0,4542.0,5335.0,5303.0,5737.0,5485.0,4885.0,4087.0,4029.0,3864.0,3005.0,3001.0,2842.0,2723.0,2425.0,2510.0,2457.0,2871.0,4237.0,6080.0,8300.0,9507.0,13982.0,19968.0,20352.0,20128.0,20159.0
6055,CA,Napa County ,137744,1419.3333333333333,317.0,483.0,711.0,930.0,959.0,1196.0,1276.0,968.0,733.0,591.0,564.0,442.0,441.0,405.0,450.0,516.0,370.0,423.0,544.0,603.0,947.0,1406.0,1854.0,2447.0,2592.0,3513.0,4302.0,4061.0,4188.0,4348.0
6057,CA,Nevada County ,99755,654.9,87.0,204.0,205.0,303.0,272.0,423.0,303.0,181.0,194.0,236.0,240.0,164.0,136.0,140.0,204.0,130.0,105.0,147.0,170.0,195.0,288.0,634.0,1020.0,1573.0,2038.0,2637.0,2381.0,1783.0,1591.0,1663.0
