countyFIPS,State,County Name_x,population,Day,Weekly_cases_per_million
6087,CA,Santa Cruz County ,273213,2020-06-07,6200.290615746689
56027,WY,Niobrara County ,2356,2020-06-07,5942.275042444821
6023,CA,Humboldt County ,135558,2020-06-07,5931.04058779268
53003,WA,Asotin County ,22582,2020-06-07,5889.646621202728
16077,ID,Power County ,7681,2020-06-07,5858.612159875016
41005,OR,Clackamas County ,418187,2020-06-07,5595.582837343103
53055,WA,San Juan County ,17582,2020-06-07,5573.882379706519
6021,CA,Glenn County ,28393,2020-06-07,5564.7518754622615
56041,WY,Uinta County ,20226,2020-06-07,5537.427074063087
6061,CA,Placer County ,398329,2020-06-07,5525.583123498414
56023,WY,Lincoln County ,19830,2020-06-07,5295.00756429652
56037,WY,Sweetwater County ,42343,2020-06-07,5172.047327775547
41071,OR,Yamhill County ,107100,2020-06-07,4985.994397759104
16003,ID,Adams County ,4294,2020-06-07,4890.544946436889
53015,WA,Cowlitz County ,110593,2020-06-07,4828.515367157053
56005,WY,Campbell County ,46341,2020-06-07,4768.995058371636
16073,ID,Owyhee County ,11823,2020-06-07,4736.530491415038
41017,OR,Deschutes County ,197692,2020-06-07,4628.411873014588
56011,WY,Crook County ,7584,2020-06-07,4614.978902953587
41035,OR,Klamath County ,68238,2020-06-07,4557.577889152672
41041,OR,Lincoln County ,49962,2020-06-07,4543.453024298467
56001,WY,Albany County ,38880,2020-06-07,4501.028806584362
30007,MT,Broadwater County ,6237,2020-06-07,4489.337822671157
30111,MT,Yellowstone County ,161300,2020-06-07,4488.53068815871
30085,MT,Roosevelt County ,11004,2020-06-07,4452.926208651399
41003,OR,Benton County ,93053,2020-06-07,4416.837716140264
6017,CA,El Dorado County ,192843,2020-06-07,4371.431682767848
16065,ID,Madison County ,39907,2020-06-07,4335.079058811737
6101,CA,Sutter County ,96971,2020-06-07,4248.692908189047
53035,WA,Kitsap County ,271473,2020-06-07,4214.04706913763
16041,ID,Franklin County ,13876,2020-06-07,4179.878927644855
41055,OR,Sherman County ,1780,2020-06-07,3932.5842696629215
30009,MT,Carbon County ,10725,2020-06-07,3916.083916083916
53045,WA,Mason County ,66768,2020-06-07,3834.1720584711243
53067,WA,Thurston County ,290536,2020-06-07,3775.7799377701904
30059,MT,Meagher County ,1862,2020-06-07,3759.398496240601
56033,WY,Sheridan County ,30485,2020-06-07,3739.5440380515006
56003,WY,Big Horn County ,11790,2020-06-07,3731.9762510602204
6057,CA,Nevada County ,99755,2020-06-07,3658.9644629341888
6033,CA,Lake County ,64386,2020-06-07,3603.2677911347187
41011,OR,Coos County ,64487,2020-06-07,3427.0473118613054
30067,MT,Park County ,16606,2020-06-07,3372.275081295917
16019,ID,Bonneville County ,119062,2020-06-07,3300.8012632074046
30107,MT,Wheatland County ,2126,2020-06-07,3292.5682031984948
16055,ID,Kootenai County ,165697,2020-06-07,3271.0308575291047
16037,ID,Custer County ,4315,2020-06-07,3244.4959443800694
6009,CA,Calaveras County ,45905,2020-06-07,3224.049667792179
53041,WA,Lewis County ,80707,2020-06-07,3209.139232036874
16005,ID,Bannock County ,87808,2020-06-07,3188.775510204082
30035,MT,Glacier County ,13753,2020-06-07,3053.8791536392064
30051,MT,Liberty County ,2337,2020-06-07,2995.293110825845
6011,CA,Colusa County ,21547,2020-06-07,2923.840905926579
53049,WA,Pacific County ,22471,2020-06-07,2803.613546348627
6115,CA,Yuba County ,78668,2020-06-07,2758.427823257233
56015,WY,Goshen County ,13211,2020-06-07,2649.3073953523576
53075,WA,Whitman County ,50104,2020-06-07,2634.5201979881845
6045,CA,Mendocino County ,86749,2020-06-07,2536.0522887871907
30029,MT,Flathead County ,103806,2020-06-07,2495.0388224187427
6007,CA,Butte County ,219186,2020-06-07,2463.6610002463663
30053,MT,Lincoln County ,19980,2020-06-07,2452.4524524524527
6089,CA,Shasta County ,180080,2020-06-07,2426.6992447800976
53009,WA,Clallam County ,77331,2020-06-07,2392.3135611850357
16029,ID,Caribou County ,7155,2020-06-07,2375.9608665269043
30073,MT,Pondera County ,5911,2020-06-07,2368.4655726611404
30063,MT,Missoula County ,119600,2020-06-07,2341.1371237458193
6091,CA,Sierra County ,3005,2020-06-07,2329.450915141431
