countyFIPS,State,County Name_x,population,2020-06-07_deaths,2020-06-14_deaths,2020-06-21_deaths,2020-06-28_deaths,2020-07-05_deaths,2020-07-12_deaths,2020-07-19_deaths,2020-07-26_deaths,2020-08-02_deaths,2020-08-09_deaths,2020-08-16_deaths,2020-08-23_deaths,2020-08-30_deaths,2020-09-06_deaths,2020-09-13_deaths,2020-09-20_deaths,2020-09-27_deaths,2020-10-04_deaths,2020-10-11_deaths,2020-10-18_deaths,2020-10-25_deaths,2020-11-01_deaths,2020-11-08_deaths,2020-11-15_deaths,2020-11-22_deaths,2020-11-29_deaths,2020-12-06_deaths,2020-12-13_deaths,2020-12-20_deaths,2020-12-27_deaths,2021-01-03_deaths
6039,CA,Madera County ,157327,34.666666666666664,2.0,6.0,7.0,14.0,18.0,38.0,53.0,84.0,112.0,80.0,57.0,66.0,19.0,32.0,27.0,22.0,26.0,10.0,10.0,18.0,5.0,8.0,5.0,24.0,32.0,16.0,45.0,70.0,73.0,61.0
6041,CA,Marin County ,258826,32.666666666666664,4.0,11.0,12.0,16.0,66.0,80.0,75.0,109.0,64.0,56.0,27.0,35.0,40.0,60.0,36.0,18.0,26.0,43.0,8.0,10.0,5.0,11.0,2.0,5.0,8.0,14.0,32.0,21.0,34.0,52.0
6043,CA,Mariposa County ,17203,0.23333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
6045,CA,Mendocino County ,86749,6.3,0.0,0.0,0.0,4.0,3.0,4.0,18.0,24.0,15.0,2.0,20.0,19.0,3.0,0.0,7.0,0.0,5.0,14.0,2.0,0.0,0.0,0.0,5.0,2.0,3.0,4.0,6.0,4.0,5.0,20.0
6047,CA,Merced County ,277680,58.93333333333333,0.0,8.0,18.0,9.0,9.0,47.0,99.0,109.0,157.0,92.0,68.0,114.0,39.0,47.0,46.0,39.0,33.0,32.0,15.0,13.0,12.0,32.0,39.0,58.0,35.0,71.0,120.0,107.0,145.0,155.0
6049,CA,Modoc County ,8841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6051,CA,Mono County ,14444,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0
6053,CA,Monterey County ,434061,55.46666666666667,8.0,6.0,2.0,14.0,17.0,3.0,28.0,35.0,44.0,50.0,56.0,35.0,46.0,18.0,18.0,18.0,24.0,30.0,33.0,48.0,51.0,28.0,47.0,53.0,33.0,105.0,178.0,211.0,196.0,229.0
6055,CA,Napa County ,137744,5.833333333333333,0.0,5.0,2.0,0.0,0.0,8.0,17.0,6.0,14.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,2.0,5.0,0.0,5.0,2.0,5.0,15.0,21.0,11.0,16.0,16.0
6057,CA,Nevada County ,99755,12.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,5.0,0.0,0.0,0.0,7.0,0.0,6.0,1.0,5.0,2.0,0.0,0.0,0.0,7.0,62.0,104.0,73.0,40.0,57.0
6059,CA,Orange County ,3175692,556.2,372.0,339.0,432.0,506.0,551.0,576.0,635.0,628.0,728.0,702.0,620.0,446.0,387.0,286.0,325.0,352.0,322.0,315.0,183.0,137.0,178.0,135.0,163.0,319.0,284.0,504.0,684.0,1236.0,1828.0,2513.0
6061,CA,Placer County ,398329,39.46666666666667,0.0,0.0,10.0,4.0,0.0,0.0,15.0,23.0,24.0,47.0,31.0,11.0,17.0,30.0,36.0,43.0,25.0,15.0,5.0,4.0,14.0,12.0,11.0,47.0,55.0,97.0,84.0,176.0,200.0,148.0
6063,CA,Plumas County ,18807,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,13.0,8.0
6065,CA,Riverside County ,2470546,482.6666666666667,229.0,275.0,263.0,350.0,456.0,518.0,581.0,633.0,639.0,517.0,424.0,341.0,323.0,241.0,261.0,173.0,149.0,152.0,157.0,111.0,139.0,211.0,231.0,354.0,425.0,649.0,942.0,1042.0,1580.0,2114.0
6067,CA,Sacramento County ,1552058,229.0,25.0,16.0,45.0,43.0,74.0,112.0,179.0,188.0,255.0,271.0,311.0,304.0,288.0,183.0,207.0,183.0,160.0,124.0,105.0,110.0,100.0,76.0,178.0,203.0,325.0,408.0,550.0,510.0,649.0,688.0
6069,CA,San Benito County ,62808,6.133333333333334,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,10.0,5.0,6.0,11.0,1.0,2.0,11.0,2.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,18.0,12.0,15.0,27.0,36.0
6071,CA,San Bernardino County ,2180085,591.4666666666667,127.0,142.0,164.0,341.0,418.0,531.0,744.0,734.0,614.0,553.0,485.0,358.0,295.0,241.0,227.0,203.0,188.0,208.0,193.0,146.0,222.0,257.0,322.0,422.0,515.0,745.0,1319.0,1740.0,2412.0,2878.0
6073,CA,San Diego County ,3338330,341.73333333333335,166.0,147.0,163.0,223.0,275.0,397.0,314.0,285.0,222.0,199.0,215.0,165.0,184.0,168.0,192.0,182.0,157.0,154.0,164.0,151.0,142.0,147.0,172.0,300.0,295.0,372.0,723.0,994.0,1282.0,1702.0
6075,CA,City and County of San Francisco,881549,47.93333333333333,8.0,14.0,4.0,0.0,13.0,29.0,33.0,44.0,42.0,44.0,39.0,23.0,39.0,71.0,50.0,57.0,69.0,102.0,63.0,24.0,14.0,7.0,16.0,28.0,17.0,36.0,41.0,104.0,157.0,250.0
6077,CA,San Joaquin County ,762148,184.53333333333333,46.0,37.0,57.0,48.0,140.0,265.0,371.0,403.0,438.0,344.0,232.0,221.0,198.0,152.0,112.0,92.0,80.0,75.0,61.0,34.0,27.0,47.0,47.0,57.0,82.0,147.0,243.0,406.0,559.0,515.0
