countyFIPS,County Name,State,StateFIPS,2020-06-07_cases,2020-06-14_cases,2020-06-21_cases,2020-06-28_cases,2020-07-05_cases,2020-07-12_cases,2020-07-19_cases,2020-07-26_cases,2020-08-02_cases,2020-08-09_cases,2020-08-16_cases,2020-08-23_cases,2020-08-30_cases,2020-09-06_cases,2020-09-13_cases,2020-09-20_cases,2020-09-27_cases,2020-10-04_cases,2020-10-11_cases,2020-10-18_cases,2020-10-25_cases,2020-11-01_cases,2020-11-08_cases,2020-11-15_cases,2020-11-22_cases,2020-11-29_cases,2020-12-06_cases,2020-12-13_cases,2020-12-20_cases,2020-12-27_cases,2021-01-03_cases,2020-06-07_deaths,2020-06-14_deaths,2020-06-21_deaths,2020-06-28_deaths,2020-07-05_deaths,2020-07-12_deaths,2020-07-19_deaths,2020-07-26_deaths,2020-08-02_deaths,2020-08-09_deaths,2020-08-16_deaths,2020-08-23_deaths,2020-08-30_deaths,2020-09-06_deaths,2020-09-13_deaths,2020-09-20_deaths,2020-09-27_deaths,2020-10-04_deaths,2020-10-11_deaths,2020-10-18_deaths,2020-10-25_deaths,2020-11-01_deaths,2020-11-08_deaths,2020-11-15_deaths,2020-11-22_deaths,2020-11-29_deaths,2020-12-06_deaths,2020-12-13_deaths,2020-12-20_deaths,2020-12-27_deaths,2021-01-03_deaths,population
2180,Nome Census Area ,AK,2,0,2,0,0,0,10,3,0,0,5,3,8,7,8,4,3,15,16,20,6,14,11,14,10,21,42,21,6,9,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10004
2185,North Slope Borough ,AK,2,0,0,2,1,0,0,3,2,8,4,9,7,6,12,13,23,36,24,11,43,30,34,37,57,32,49,93,100,105,34,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,9832
2188,Northwest Arctic Borough ,AK,2,0,2,0,0,0,2,2,6,14,10,6,18,3,5,3,11,23,33,29,36,19,32,25,20,34,20,15,13,4,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7621
2195,Petersburg Borough ,AK,2,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,1,0,3,0,4,1,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3266
2198,Prince of Wales - Hyder Census Area ,AK,2,0,0,0,0,0,0,1,0,4,1,7,5,5,2,3,0,1,0,0,3,0,0,5,6,0,0,11,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6203
2220,City and Borough of Sitka,AK,2,0,8,1,0,0,0,4,12,5,8,5,6,0,0,18,2,3,0,0,16,1,9,16,22,33,29,40,9,22,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8493
2230,Municipality of Skagway,AK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183
2240,Southeast Fairbanks Census Area ,AK,2,0,0,0,11,0,0,27,0,1,23,0,0,0,1,2,1,25,3,0,34,8,23,13,49,72,61,51,27,26,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,6893
2261,Valdez-Cordova Census Area ,AK,2,0,0,0,19,5,3,27,23,13,6,7,10,0,2,0,1,44,6,5,15,11,13,22,23,26,22,29,22,0,81,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9202
2275,City and Borough of Wrangell,AK,2,0,2,1,0,0,0,6,0,3,1,0,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2502
2282,City and Borough of Yakutat,AK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579
2290,Yukon-Koyukuk Census Area ,AK,2,0,0,1,0,0,5,12,23,5,6,4,12,5,0,5,4,2,0,9,9,7,12,7,8,21,21,11,10,4,13,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5230
13001,Appling County ,GA,13,26,18,15,34,36,54,73,74,103,77,118,64,32,46,29,47,21,33,45,24,29,20,15,14,12,11,17,45,66,49,100,0,0,0,1,0,0,1,1,0,3,0,2,2,1,2,0,2,2,4,1,1,2,0,0,0,0,2,1,0,1,1,18386
13003,Atkinson County ,GA,13,9,16,20,41,25,33,32,40,26,26,33,27,26,11,16,3,6,7,9,14,10,5,6,9,12,11,14,23,23,35,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,8165
13005,Bacon County ,GA,13,15,32,24,27,54,25,39,37,33,22,35,16,28,21,23,32,5,7,10,9,11,3,7,5,12,2,3,26,34,58,57,0,0,1,0,0,1,0,0,1,2,0,0,0,2,0,0,4,0,0,0,2,0,1,1,1,1,0,0,1,0,0,11164
13007,Baker County ,GA,13,2,0,0,7,0,1,1,7,6,5,8,0,0,1,1,5,6,0,1,2,4,1,7,3,1,4,1,7,4,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3038
13009,Baldwin County ,GA,13,40,40,17,35,88,78,92,102,125,83,120,167,317,145,115,144,53,36,51,49,55,37,36,50,46,53,42,78,83,108,137,1,4,1,1,1,1,0,2,1,1,5,2,4,3,2,0,1,2,3,2,1,1,1,2,0,1,0,2,0,2,0,44890
13011,Banks County ,GA,13,5,18,6,16,14,12,29,20,37,29,30,33,36,35,28,36,13,21,22,15,12,22,22,47,58,57,69,97,104,66,89,0,0,0,0,1,0,2,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,1,0,2,1,0,0,5,1,1,19234
13013,Barrow County ,GA,13,18,38,37,44,69,99,126,158,194,177,144,152,140,161,85,115,88,100,107,98,91,102,87,95,172,180,236,354,380,389,514,3,3,2,0,0,1,3,3,0,0,1,3,1,4,2,3,1,0,0,3,0,1,4,1,0,1,1,2,3,2,1,83240
13015,Bartow County ,GA,13,40,24,56,70,102,188,176,216,253,261,189,183,186,131,120,124,109,97,142,201,221,143,140,193,226,208,295,493,434,513,574,1,0,0,3,0,2,2,5,9,2,2,2,4,4,3,5,3,3,3,1,2,2,0,2,1,2,1,2,1,6,10,107738
13017,Ben Hill County ,GA,13,14,14,18,34,29,45,36,36,44,90,99,62,22,47,34,38,34,35,23,16,24,17,14,8,11,23,39,78,65,53,55,0,0,0,0,0,0,0,0,2,1,3,1,5,4,1,2,4,2,1,5,1,1,0,1,0,0,0,0,1,0,0,16700
13019,Berrien County ,GA,13,10,11,25,18,22,38,28,27,33,34,42,26,16,31,8,20,11,12,7,10,12,13,4,10,34,34,41,30,60,47,53,0,0,0,0,0,0,0,0,0,0,1,2,3,4,1,0,1,0,0,0,1,1,1,2,0,0,1,0,1,1,0,19397
13021,Bibb County ,GA,13,41,27,71,139,486,441,529,488,461,466,445,463,851,152,221,206,99,83,159,163,118,131,117,182,155,185,282,463,433,522,594,2,5,2,1,3,2,1,9,8,7,15,15,21,20,12,6,13,7,11,0,5,7,4,9,4,1,6,5,5,2,4,153159
13023,Bleckley County ,GA,13,5,2,2,4,15,15,14,14,16,95,52,34,36,49,19,9,7,10,22,34,12,3,3,14,12,5,13,17,27,18,28,0,0,1,0,0,0,0,2,0,6,1,2,4,1,2,0,2,0,0,0,6,0,0,1,1,1,0,0,0,0,0,12873
13025,Brantley County ,GA,13,5,7,5,11,26,31,29,29,24,25,23,17,15,13,8,17,2,7,23,30,41,28,17,11,22,22,14,30,22,34,35,0,0,0,0,1,0,0,0,1,1,3,0,0,0,0,2,0,0,1,1,1,0,0,1,1,3,0,0,0,0,0,19109
13027,Brooks County ,GA,13,13,14,22,27,39,40,47,46,54,41,20,20,24,8,13,13,10,6,4,14,8,1,1,4,8,26,58,30,46,26,33,0,2,1,0,0,0,1,1,2,2,1,2,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15457
13029,Bryan County ,GA,13,3,8,10,20,50,89,108,104,84,106,75,54,69,53,79,72,88,28,38,47,34,15,28,14,43,42,48,75,74,76,83,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,2,0,0,2,1,0,2,0,0,0,0,0,0,1,0,1,39627
13031,Bulloch County ,GA,13,17,21,51,139,215,116,167,134,176,161,133,77,447,486,238,139,98,42,37,56,56,57,34,41,49,48,62,88,104,97,150,0,1,0,1,0,2,1,3,2,2,3,2,2,1,2,1,3,0,4,1,0,0,0,1,1,0,0,0,0,1,0,79608
13033,Burke County ,GA,13,3,1,7,9,14,27,62,84,79,59,79,71,33,41,36,39,36,41,11,15,10,22,16,37,25,17,32,31,43,44,47,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,22383
13035,Butts County ,GA,13,14,3,1,18,30,48,22,41,60,25,21,21,32,15,29,22,24,30,28,11,16,10,28,45,30,33,47,90,119,72,137,1,8,0,1,0,2,0,1,1,0,3,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,24936
13037,Calhoun County ,GA,13,6,8,13,3,5,0,8,6,13,9,11,11,0,2,0,6,11,6,5,6,5,2,0,0,1,4,21,14,0,10,20,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,6189
13039,Camden County ,GA,13,6,5,23,16,81,89,96,117,174,67,123,82,71,82,55,84,56,39,28,27,24,51,40,73,98,92,79,101,92,113,155,0,0,0,1,0,0,1,1,0,1,2,0,0,0,0,0,2,4,3,1,1,0,0,0,0,0,0,0,0,1,0,54666
13043,Candler County ,GA,13,0,4,4,11,30,26,39,50,52,25,26,24,44,30,20,18,42,17,24,21,19,11,15,3,12,0,3,4,7,9,17,0,0,0,0,0,0,0,1,3,0,5,2,3,2,0,1,2,1,3,1,0,1,0,1,0,1,0,0,1,0,0,10803
13045,Carroll County ,GA,13,58,30,16,44,173,203,309,183,195,144,162,165,102,124,89,121,125,105,116,180,162,96,130,166,231,161,155,358,229,260,253,4,9,2,0,1,0,2,0,5,2,5,2,5,2,0,0,5,2,2,2,1,2,3,0,2,0,4,4,1,4,1,119992
13047,Catoosa County ,GA,13,20,69,47,27,21,35,31,62,88,97,72,85,66,79,78,84,80,56,52,52,69,83,123,110,171,157,170,275,340,250,267,0,0,6,1,1,0,0,0,1,0,7,0,0,0,0,1,1,1,0,1,2,1,2,1,2,1,0,5,0,2,1,67580
13049,Charlton County ,GA,13,0,4,2,7,22,42,77,72,122,45,65,48,20,28,11,16,20,8,1,1,3,3,7,11,15,11,24,40,33,33,39,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,1,0,0,13392
13051,Chatham County ,GA,13,32,84,152,314,736,718,840,869,699,743,544,418,347,376,406,320,314,224,216,233,222,224,185,262,329,289,328,517,504,511,654,2,2,3,5,0,1,2,8,18,9,21,19,6,10,5,10,13,9,7,6,5,5,3,4,2,3,1,8,8,6,4,289430
13053,Chattahoochee County ,GA,13,49,78,64,89,25,34,32,14,151,101,49,121,182,323,147,41,8,51,23,12,24,62,35,67,12,56,51,74,30,13,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10907
13055,Chattooga County ,GA,13,1,10,14,7,11,14,12,51,54,68,94,62,131,83,42,45,42,47,26,36,53,49,52,38,22,38,45,125,98,79,122,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,5,10,0,4,1,2,0,0,1,1,0,1,4,3,4,1,24789
13057,Cherokee County ,GA,13,56,70,72,142,211,299,350,343,400,609,519,388,448,383,313,257,251,218,232,275,291,327,337,432,593,421,592,682,816,885,1262,1,4,1,4,1,4,1,3,4,7,4,5,6,3,6,4,1,1,4,3,1,1,2,5,2,2,1,1,6,4,2,258773
13059,Clarke County ,GA,13,30,24,36,103,227,226,299,211,268,330,203,241,351,908,753,371,150,174,175,178,148,166,175,221,188,208,380,430,399,349,565,2,0,0,0,0,0,0,0,2,1,3,4,1,8,2,5,3,1,1,0,1,3,0,0,2,2,1,2,2,3,1,128331
13061,Clay County ,GA,13,8,5,4,0,0,5,4,4,11,6,17,6,2,3,4,2,1,0,1,0,2,0,0,1,0,1,1,5,6,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2834
13063,Clayton County ,GA,13,99,99,186,266,462,460,605,591,516,488,516,520,416,206,186,165,63,100,288,376,295,330,292,335,388,323,560,915,737,664,1034,1,18,7,3,0,3,3,7,9,9,6,5,16,8,9,4,3,1,8,4,1,4,4,5,4,3,3,4,7,9,5,292256
13065,Clinch County ,GA,13,10,11,5,18,9,3,16,28,15,22,20,51,18,24,27,29,12,13,14,18,23,16,10,11,5,2,6,8,9,22,36,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,3,2,1,0,1,0,0,0,0,0,1,0,0,0,6618
13067,Cobb County ,GA,13,210,344,332,671,1157,1295,1309,1750,1570,1874,1329,1038,965,838,761,546,510,459,535,613,592,625,715,917,1318,1004,1620,2345,2489,2320,3370,11,23,13,11,6,7,11,23,11,21,20,30,22,13,9,8,5,3,13,5,7,5,9,14,5,6,9,11,17,15,10,760141
13069,Coffee County ,GA,13,23,45,69,118,86,313,118,149,143,121,129,110,74,86,49,71,72,43,53,37,56,63,65,62,96,89,147,200,173,184,186,0,0,1,2,0,0,1,4,3,3,4,2,3,1,3,2,6,3,5,2,1,4,1,3,1,3,0,0,1,5,2,43273
13071,Colquitt County ,GA,13,88,96,77,168,193,175,82,59,62,65,77,53,75,60,59,1,7,37,61,94,53,19,27,25,0,17,90,83,51,55,92,0,2,0,1,0,2,0,1,1,1,1,1,1,2,4,1,0,2,2,2,0,1,0,1,0,0,2,1,0,0,0,45600
13073,Columbia County ,GA,13,23,27,43,81,204,227,349,290,424,322,394,320,154,190,162,164,116,112,129,182,166,170,118,312,240,202,309,450,432,394,518,0,0,0,1,0,3,2,4,1,4,11,6,4,3,9,1,4,0,1,2,0,2,2,1,2,1,3,6,2,1,2,156714
13075,Cook County ,GA,13,11,17,19,38,47,65,47,50,63,36,34,22,14,14,9,11,7,6,7,9,11,32,40,29,40,45,51,38,70,39,50,0,0,0,0,1,2,0,1,1,0,3,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,2,0,1,3,0,17270
13077,Coweta County ,GA,13,46,46,38,95,131,112,121,174,154,165,265,246,230,93,65,103,100,64,88,94,98,69,74,93,252,196,198,334,405,391,545,0,2,3,1,1,0,0,1,4,1,4,0,0,6,6,3,5,4,8,2,3,0,0,1,3,1,3,1,0,5,1,148509
