countyFIPS,County Name,State,StateFIPS,2020-06-07_cases,2020-06-14_cases,2020-06-21_cases,2020-06-28_cases,2020-07-05_cases,2020-07-12_cases,2020-07-19_cases,2020-07-26_cases,2020-08-02_cases,2020-08-09_cases,2020-08-16_cases,2020-08-23_cases,2020-08-30_cases,2020-09-06_cases,2020-09-13_cases,2020-09-20_cases,2020-09-27_cases,2020-10-04_cases,2020-10-11_cases,2020-10-18_cases,2020-10-25_cases,2020-11-01_cases,2020-11-08_cases,2020-11-15_cases,2020-11-22_cases,2020-11-29_cases,2020-12-06_cases,2020-12-13_cases,2020-12-20_cases,2020-12-27_cases,2021-01-03_cases,2020-06-07_deaths,2020-06-14_deaths,2020-06-21_deaths,2020-06-28_deaths,2020-07-05_deaths,2020-07-12_deaths,2020-07-19_deaths,2020-07-26_deaths,2020-08-02_deaths,2020-08-09_deaths,2020-08-16_deaths,2020-08-23_deaths,2020-08-30_deaths,2020-09-06_deaths,2020-09-13_deaths,2020-09-20_deaths,2020-09-27_deaths,2020-10-04_deaths,2020-10-11_deaths,2020-10-18_deaths,2020-10-25_deaths,2020-11-01_deaths,2020-11-08_deaths,2020-11-15_deaths,2020-11-22_deaths,2020-11-29_deaths,2020-12-06_deaths,2020-12-13_deaths,2020-12-20_deaths,2020-12-27_deaths,2021-01-03_deaths,population
2170,Matanuska-Susitna Borough ,AK,2,34,43,54,73,116,136,178,229,303,339,386,436,484,516,544,587,609,668,738,837,1002,1493,1947,2365,2644,3410,4805,5436,5914,6189,6582,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,5,5,6,8,11,16,19,22,28,30,108317
2180,Nome Census Area ,AK,2,3,5,5,5,5,15,18,17,17,22,25,33,40,48,52,55,70,86,106,112,126,137,151,161,182,224,245,251,260,270,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10004
2185,North Slope Borough ,AK,2,1,1,3,4,4,4,7,9,17,21,30,37,43,55,68,91,127,151,162,205,235,269,306,363,395,444,537,637,742,776,812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,9832
2188,Northwest Arctic Borough ,AK,2,2,4,4,4,4,6,8,14,28,38,44,62,65,70,73,84,107,140,169,205,224,256,281,301,335,355,370,383,387,397,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7621
2195,Petersburg Borough ,AK,2,4,4,4,4,4,4,10,6,6,6,7,7,7,7,7,7,7,8,8,11,11,15,16,18,18,18,18,20,20,20,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3266
2198,Prince of Wales - Hyder Census Area ,AK,2,2,2,2,2,2,2,3,3,7,8,15,20,25,27,30,30,31,31,31,34,34,34,39,45,45,45,56,61,65,67,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,6203
2220,City and Borough of Sitka,AK,2,2,10,11,11,11,11,15,27,32,40,45,51,38,38,56,58,61,54,54,70,71,80,96,118,151,180,220,229,251,262,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8493
2230,Municipality of Skagway,AK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,7,7,7,7,7,11,14,15,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183
2240,Southeast Fairbanks Census Area ,AK,2,3,3,3,14,3,3,30,13,14,37,18,18,18,19,21,22,47,50,34,68,76,99,112,161,233,294,345,372,398,416,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,3,3,6893
2261,Valdez-Cordova Census Area ,AK,2,0,0,0,19,24,27,54,77,90,96,103,113,73,75,75,76,120,126,131,146,157,170,192,215,241,263,292,314,257,338,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,9202
2275,City and Borough of Wrangell,AK,2,0,2,3,3,3,3,9,5,8,9,8,9,11,12,12,13,13,13,13,13,13,13,13,14,14,14,15,16,18,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2502
2282,City and Borough of Yakutat,AK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579
